ECSC	CyberChallengeIt	ECSC-without-SLA	Defcon	Saarland	iCTF
7,33453.28	7,34169.5	7,23250.94	7,23059	7,36234.82	6,231874.74
16,32947.58	16,33825.31	16,22492.47	16,22835	16,36057.84	11,213256.69
11,32332.7	11,33231.86	11,22124.62	28,22134	11,35375.4	7,209748.53
28,31716.04	28,32938.42	28,21484.97	11,22052	28,35252.91	28,201162.98
6,30347.56	6,31069.0	6,20093.52	6,19187	6,32948.41	16,199156.69
29,25305.89	10,25854.17	29,15465.46	29,16580	10,27589.95	10,159665.39
10,24780.71	29,25739.85	10,14951.76	10,16160	29,27470.98	22,152435.33
22,22642.28	22,23571.87	22,13158.0	22,14465	22,25263.31	29,131489.03
9,20366.71	9,21548.97	9,10761.81	20,13248	9,23583.79	9,124251.99
20,18627.46	20,20710.1	20,9648.71	9,12852	20,23386.2	1,109028.68
24,16336.08	24,18194.08	2,6752.68	24,10207	24,20592.29	24,107049.4
2,15518.88	14,17096.47	24,6679.47	2,9713	14,19702.01	8,98896.39
14,15175.77	2,17004.84	30,5974.98	14,9375	2,19110.73	2,96151.1
30,13890.99	8,16087.63	14,5277.89	3,8701	8,18896.12	20,94008.28
8,13818.47	27,15273.78	8,4161.86	8,8691	27,18369.35	27,87723.66
3,13045.82	3,15216.55	3,4055.58	30,8297	3,18030.99	30,78931.83
27,12509.06	30,14511.89	27,2375.66	27,7926	21,16720.53	14,76939.44
23,11252.2	23,13469.46	21,978.47	21,7171	23,16079.18	3,68195.73
1,10564.25	21,13461.17	23,705.19	23,5825	30,16042.03	23,67504.35
21,10324.87	33,12562.82	33,578.83	33,5703	31,15263.21	25,64601.41
33,10120.55	13,11951.29	1,1	31,5225	33,15181.94	33,63314.29
25,9115.82	31,11937.83	25,-954.4	13,5126	13,14942.85	21,62572.61
13,9095.26	25,11869.65	13,-997.93	25,4816	25,14703.97	31,59422.55
31,8486.23	34,10869.29	31,-1658.67	5,4306	34,14397.07	17,58438.29
17,7854.58	17,10746.35	17,-1767.56	34,4273	17,13727.02	13,56582.91
18,7757.53	1,10707.86	5,-1847.37	17,4193	18,13682.46	18,54757.93
5,7746.05	18,10644.38	18,-2375.88	19,3916	5,13568.56	19,53720.75
34,7209.0	5,10548.21	19,-3320.5	18,3867	19,13535.3	34,51236.84
19,6789.93	19,10188.72	34,-3406.95	15,3569	15,13094.32	5,50326.48
15,5490.85	15,9516.46	15,-4079.59	32,1786	32,11085.29	15,47227.09
4,4803.14	32,7886.89	4,-4859.21	26,1615	26,10915.05	26,45716.98
32,4641.49	26,7642.06	32,-5313.84	1,1471	1,10707.86	32,44046.37
26,3978.53	4,7585.51	26,-5769.99	4,1470	4,10533.19	4,43803.05
12,3444.83	12,6854.79	12,-6499.01	12,831	12,10199.53	12,39862.21
